id,name,author,style,time,score,comment,image
222,王菲,王菲,流行,1997-09-30,9.2,20559,https://img3.doubanio.com/view/subject/m/public/s3336530.jpg
223,信仰在空中飘扬,汪峰,摇滚,2009-07-25,8.7,19024,https://img1.doubanio.com/view/subject/m/public/s3910069.jpg
224,[i],莫文蔚,流行,2002-04-29,8.7,19304,https://img1.doubanio.com/view/subject/m/public/s3944348.jpg
225,Songs About Jane,Maroon 5,流行,2002,8.5,19415,https://img1.doubanio.com/view/subject/m/public/s2382869.jpg
226,Back To Black,Amy Winehouse,放克/灵歌/R&amp;B,2006-11-30,8.5,19483,https://img3.doubanio.com/view/subject/m/public/s2146936.jpg
227,Demo 3,陈绮贞,流行,2001-11-09,9.1,18013,https://img1.doubanio.com/view/subject/m/public/s4571919.jpg
228,克卜勒,孙燕姿,流行,2014-02-27,8.4,20458,https://img1.doubanio.com/view/subject/m/public/s27220328.jpg
229,E=MC²,Mariah Carey,流行,2008-04-16,8.5,18909,https://img1.doubanio.com/view/subject/m/public/s2982879.jpg
230,9 Crimes,Damien Rice,民谣,2006-11-27,9.4,17474,https://img3.doubanio.com/view/subject/m/public/s3341606.jpg
231,如果有一件事是重要的,陈珊妮,流行,2008-11-22,8.2,18794,https://img3.doubanio.com/view/subject/m/public/s3285190.jpg
232,赤裸裸,郑钧,摇滚,1994,8.8,19141,https://img3.doubanio.com/view/subject/m/public/s9105445.jpg
233,阿岳正传,张震岳,流行,2004-06-24,9.0,17782,https://img3.doubanio.com/view/subject/m/public/s3899296.jpg
234,3颗猫饼干,朱玫玲,,2004/04/26,9.1,17024,https://img1.doubanio.com/view/subject/m/public/s1416778.jpg
235,21 Guns,Green Day,,2009-07-14,9.2,17987,https://img1.doubanio.com/view/subject/m/public/s4468079.jpg
236,看我72变,蔡依林 Jolin Tsai,流行,2003-03-07,8.2,22112,https://img1.doubanio.com/view/subject/m/public/s1506028.jpg
237,第二人生 明日版,五月天,流行,2011-12-20,9.0,17797,https://img3.doubanio.com/view/subject/m/public/s7018733.jpg
238,Definitely Maybe,Oasis,摇滚,1994-08-30,9.0,18651,https://img3.doubanio.com/view/subject/m/public/s4714001.jpg
239,First Love,宇多田ヒカル,流行,1999,9.1,18612,https://img1.doubanio.com/view/subject/m/public/s1490767.jpg
240,阿密特,张惠妹,流行,2009-06-26,7.7,19787,https://img3.doubanio.com/view/subject/m/public/s3856684.jpg
241,心·跳,王力宏 Leehom Wang,流行,2008-12-26,7.1,20928,https://img3.doubanio.com/view/subject/m/public/s3485794.jpg
242,xx,The xx,摇滚,2009-08-17,8.7,18825,https://img3.doubanio.com/view/subject/m/public/s3962066.jpg
243,回蔚,莫文蔚,流行,2009-06-23,8.0,18724,https://img3.doubanio.com/view/subject/m/public/s3885892.jpg
244,如果看見地獄，我就不怕魔鬼,Tizzy Bac,流行,2009-02-13,8.1,18202,https://img3.doubanio.com/view/subject/m/public/s3751353.jpg
245,我们是五月天,五月天,,2003年4月17日,9.3,17667,https://img1.doubanio.com/view/subject/m/public/s27076627.jpg
246,王妃,萧敬腾,流行,2009-07-17,7.7,19479,https://img1.doubanio.com/view/subject/m/public/s3885797.jpg
247,Poker Face,Lady Gaga,,"September 23, 2008",8.7,18716,https://img3.doubanio.com/view/subject/m/public/s3598342.jpg
248,唐朝,唐朝,摇滚,1992-12,9.0,17852,https://img1.doubanio.com/view/subject/m/public/s8903729.jpg
249,寻找周杰伦,周杰伦,流行,2003-12-1,8.5,19714,https://img1.doubanio.com/view/subject/m/public/s3726558.jpg
250,她说,林俊杰,流行,2010-12-08,7.7,21006,https://img3.doubanio.com/view/subject/m/public/s4550552.jpg
