id,name,author,style,time,score,comment,image
51,Music For Tourists,Chris Garneau,民谣,2007-01-23,8.7,37786,https://img3.doubanio.com/view/subject/m/public/s1989094.jpg
52,The Moment,孙燕姿,流行,2003-08-22,9.0,38411,https://img3.doubanio.com/view/subject/m/public/s2794840.jpg
53,七,陈奕迅,流行,2003-11-20,9.4,37598,https://img3.doubanio.com/view/subject/m/public/s3169796.jpg
54,春·日光,苏打绿,摇滚,2009-05-08,8.0,40676,https://img1.doubanio.com/view/subject/m/public/s3763169.jpg
55,100种生活,盧廣仲,民谣,2008-5-27,8.3,38958,https://img1.doubanio.com/view/subject/m/public/s3128207.jpg
56,崇拜,梁静茹,流行,2007-11-09,8.4,40397,https://img1.doubanio.com/view/subject/m/public/s2758489.jpg
57,陈绮贞精选,陈绮贞,民谣,2005,9.2,35159,https://img3.doubanio.com/view/subject/m/public/s3232974.jpg
58,菊次郎の夏,Joe Hisaishi,原声,1999-05-19,9.4,37844,https://img3.doubanio.com/view/subject/m/public/s3272681.jpg
59,Fearless,Taylor Swift,流行,2008-11-11,8.4,41210,https://img3.doubanio.com/view/subject/m/public/s3315133.jpg
60,Life In Cartoon Motion,Mika,流行,2007-02-05,8.8,35793,https://img3.doubanio.com/view/subject/m/public/s2657592.jpg
61,H³M,陈奕迅,流行,2009-03-23,8.5,38465,https://img3.doubanio.com/view/subject/m/public/s3666735.jpg
62,神秘嘉宾,林宥嘉,流行,2008-06-03,8.4,39169,https://img3.doubanio.com/view/subject/m/public/s3113075.jpg
63,Les Choristes,Bruno Coulais,,2004-05-03,9.4,34885,https://img3.doubanio.com/view/subject/m/public/s1400055.jpg
64,赤子,范晓萱&100%,流行,2009-08-10,8.1,37796,https://img3.doubanio.com/view/subject/m/public/s3902012.jpg
65,9,Damien Rice,民谣,2006-11-06,8.9,35237,https://img3.doubanio.com/view/subject/m/public/s1831581.jpg
66,将爱,王菲,流行,2003,8.7,38039,https://img3.doubanio.com/view/subject/m/public/s2726841.jpg
67,遇见我,曹方,流行,2005年12月,8.4,37060,https://img3.doubanio.com/view/subject/m/public/s1462740.jpg
68,梵高先生,李志,民谣,2007-01-11,8.9,40753,https://img1.doubanio.com/view/subject/m/public/s3743777.jpg
69,Timeless 可啦思刻,方大同,放克/灵歌/R&amp;B,2009-08-11,8.3,36220,https://img3.doubanio.com/view/subject/m/public/s27078161.jpg
70,依然范特西,周杰伦,流行,2006-09-05,7.7,46072,https://img3.doubanio.com/view/subject/m/public/s1943885.jpg
71,风筝,孙燕姿,流行,2001-07-09,8.8,36451,https://img3.doubanio.com/view/subject/m/public/s6569456.jpg
72,完美的一天,孙燕姿,流行,2005-10-07,8.1,38204,https://img3.doubanio.com/view/subject/m/public/s3524062.jpg
73,Say I Am You,The Weepies,民谣,2006,8.5,35885,https://img1.doubanio.com/view/subject/m/public/s4043738.jpg
74,黑色柳丁,陶喆,流行,2002,8.8,36467,https://img1.doubanio.com/view/subject/m/public/s27077858.jpg
75,Under My Skin,Avril Lavigne,摇滚,2004-05-12,8.5,35820,https://img1.doubanio.com/view/subject/m/public/s4716897.jpg
76,Stefanie,孙燕姿,流行,2004-10-1,8.6,34939,https://img3.doubanio.com/view/subject/m/public/s1418840.jpg
77,The Fame,Lady Gaga,电子,2008-08-19,8.3,36718,https://img3.doubanio.com/view/subject/m/public/s3224590.jpg
78,Mr. A-Z,Jason Mraz,流行,2005-07-04,9.0,32850,https://img3.doubanio.com/view/subject/m/public/s2761461.jpg
79,为爱而生,五月天,流行,2006-12-28,8.4,35307,https://img3.doubanio.com/view/subject/m/public/s1959251.jpg
80,Daniel Powter,Daniel Powter,流行,2006,8.6,33195,https://img1.doubanio.com/view/subject/m/public/s1661548.jpg
81,I'm Yours,Jason Mraz,民谣,2008-12-16,9.4,33374,https://img3.doubanio.com/view/subject/m/public/s9074663.jpg
82,在动物园散步才是正经事,My Little Airport,流行,2004-08-07,8.2,35834,https://img3.doubanio.com/view/subject/m/public/s2552894.jpg
83,时光·漫步,许巍 Wei Xu,民谣,2002-12-01,8.9,33546,https://img3.doubanio.com/view/subject/m/public/s3839391.jpg
84,生如夏花,朴树,流行,2003-11-28,8.6,38731,https://img1.doubanio.com/view/subject/m/public/s1966937.jpg
85,我很忙,周杰伦,流行,2007-11-01,7.3,44164,https://img3.doubanio.com/view/subject/m/public/s2753832.jpg
86,夏 / 狂热,苏打绿,摇滚,2009-09-11,8.3,34455,https://img3.doubanio.com/view/subject/m/public/s3967123.jpg
87,绝世名伶,范晓萱,爵士,2001-08-25,8.8,31859,https://img3.doubanio.com/view/subject/m/public/s11363103.jpg
88,哼一首歌 等日落,曹方,流行,2009-11-11,8.1,32509,https://img3.doubanio.com/view/subject/m/public/s4052811.jpg
89,未完成,孙燕姿,流行,2003-01-10,8.6,32179,https://img3.doubanio.com/view/subject/m/public/s3524013.jpg
90,OK Computer,Radiohead,摇滚,1997,9.2,32415,https://img1.doubanio.com/view/subject/m/public/s2789048.jpg
91,Born to Die,Lana Del Rey,流行,2012-01-31,8.5,35115,https://img1.doubanio.com/view/subject/m/public/s7047247.jpg
92,The Wall,Pink Floyd,摇滚,1979,9.1,32438,https://img3.doubanio.com/view/subject/m/public/s2413665.jpg
93,不要停止我的音乐,痛仰,摇滚,2008-10,8.6,32789,https://img3.doubanio.com/view/subject/m/public/s3523286.jpg
94,Hybrid Theory,Linkin Park,摇滚,2000,8.9,30108,https://img3.doubanio.com/view/subject/m/public/s2838195.jpg
95,MTV Unplugged in New York,Nirvana,摇滚,1994-11-01,9.5,29216,https://img3.doubanio.com/view/subject/m/public/s3158430.jpg
96,After 17,陈绮贞,流行,2004年12月,9.2,28895,https://img3.doubanio.com/view/subject/m/public/s4711982.jpg
97,In Between Dreams,Jack Johnson,民谣,2005-03-22,9.0,28692,https://img1.doubanio.com/view/subject/m/public/s4346679.jpg
98,神的孩子都在跳舞,五月天 Mayday,流行,2004-11-05,8.9,30667,https://img3.doubanio.com/view/subject/m/public/s3586961.jpg
